id	filename	md5	size	state
6073d392-98af-4547-a2f5-78d1e7d2dafb	f6591087-c0c2-4afb-949e-cba3689cb3ca.rna_seq.augmented_star_gene_counts.tsv	a3c9be241ddf720e77ee4e2492da2dee	4188339	released
3522be45-6468-4b93-8780-640e67409769	4b987a90-4779-4930-9206-69ea483acbac.rna_seq.augmented_star_gene_counts.tsv	ca45dfd90f2a409ad14bb93a0f689890	4203486	released
3af9834e-d284-40c5-bce5-c5ff59ac9983	b5b99dc0-b9e7-4b80-89cd-f42e9b2ed710.rna_seq.augmented_star_gene_counts.tsv	7454543c0662529fe0a8b6b130d74f43	4203807	released
27040011-7f52-4d1f-96d9-b8d75986afc0	f18e4f29-844f-4cec-ad36-0ebe9491ed3d.rna_seq.augmented_star_gene_counts.tsv	b1a25421a0aef8112802ec204ab00e2c	4204056	released
f340e45e-821e-4352-8756-386c01f42771	de6ffb0a-19a8-46c2-9a45-1e2ea082ee86.rna_seq.augmented_star_gene_counts.tsv	0742c5b4c2f70af43dd7f3ba5d679e4b	4205884	released
959b1d82-b8bd-469e-8d04-d0278c1def10	06c5f033-20a4-4829-b832-573bafc9b80c.rna_seq.augmented_star_gene_counts.tsv	b4147140df694d79e4ac7f7652250efa	4206950	released
abddbc1f-3227-479d-b68f-406dd9eab12e	d43d749c-eea4-4467-a1c9-751923cefbc6.rna_seq.augmented_star_gene_counts.tsv	513bf52601e27bb5045f96abe903b885	4187212	released
bb933466-b36a-4952-a372-54e09362c0c7	a739e3ff-f172-4f9c-94b6-b9fcc4458627.rna_seq.augmented_star_gene_counts.tsv	29dcd8a293cb2b3db59fee256c00bf1d	4209536	released
46bdffdd-d8b3-4aa9-a36c-5b695c41aacb	fc6e0c8a-46a8-4cfc-b824-8181a8984072.rna_seq.augmented_star_gene_counts.tsv	15712fde892f5595d7800ff920b98a0f	4191917	released
c659dd7a-68c3-4e7c-8b67-cda1f2fc518a	f1c423bc-6155-4cfb-8cc8-a98ccd97bd2e.rna_seq.augmented_star_gene_counts.tsv	2f0d4306b99151141ec6022eb121c9ae	4195239	released
defbfeb5-42ac-4bc7-b323-6dbba32a1bd7	b89bc06f-91ca-4dd7-834d-87bb730048cd.rna_seq.augmented_star_gene_counts.tsv	ac2af644d6de508937cd5fb351e7ed7a	4201845	released
f7321879-7450-4584-9730-e07477f41950	4f1c4f93-7ce5-4348-82b4-20bf6bd178c4.rna_seq.augmented_star_gene_counts.tsv	ac310e1b10de3d6b4b507afebe03ca66	4199863	released
57bda069-93ee-4614-b64e-fbf7c91aa1fe	4a9a8be4-1c11-4c8b-b943-77e122513731.rna_seq.augmented_star_gene_counts.tsv	9464ba8eb221db68241dde8cb8105199	4190816	released
2e127ae7-9706-4d43-bfe3-1d2f943b0f05	0fdef70f-2ab5-4a89-a24d-9706807f475a.rna_seq.augmented_star_gene_counts.tsv	b893f5c50a134c62715d76b5aba4d8ff	4209603	released
286502d3-768b-4bf9-8a50-e7c0fbdb0637	4cb87d16-3196-4e80-a0b9-ba1a3907fe18.rna_seq.augmented_star_gene_counts.tsv	471d8267b224a0b580de4fd21d567328	4194646	released
9009b638-490e-4b93-ba41-c07c15214d4c	b6689457-11c5-4930-b8f6-ebb578c36478.rna_seq.augmented_star_gene_counts.tsv	56061522b56da47818df647cf43cba1c	4203526	released
801a1085-7b74-4ce7-9c63-79c17a6e3e1c	aeb6046b-c9fe-4e8e-8a36-6ebb257f0850.rna_seq.augmented_star_gene_counts.tsv	f6de90126d156237f51b5f60baa36adf	4195411	released
b97d4cd2-7992-4fbf-86b6-e0b9c98539e4	e95dbce1-6923-419c-b344-b198a71a079f.rna_seq.augmented_star_gene_counts.tsv	7d725a46fa70d1f4a43c1b13d2c4b011	4199901	released
296bec18-8766-44b8-88ef-addb87d04bba	7ad804b5-0e75-4562-99db-e6f508950c03.rna_seq.augmented_star_gene_counts.tsv	91ea6eb4f49429b424b2651a5b1aebf5	4203332	released
