Case ID,File ID,File Name
11BR060,7d1af74d-6c8c-4ca3-b65b-7ce5efa342e1,5c4ddb03-6ff9-4fb7-8e73-daf7b3460ae2.rna_seq.augmented_star_gene_counts.tsv
11BR040,cd4281fb-7a27-490b-8de8-76b2a0307abe,fbb68717-aeaf-47be-8095-9347a076945c.rna_seq.augmented_star_gene_counts.tsv
06BR006,93956baa-47e0-451c-80da-5087738ea86b,c1e35a75-04f5-4347-a3e8-05dc03ce7c36.rna_seq.augmented_star_gene_counts.tsv
11BR023,84b7e5f7-2184-4248-a9a1-c42ae14a6e09,8c7d243f-b9d3-4eaa-a339-435a25288160.rna_seq.augmented_star_gene_counts.tsv
01BR015,470fd839-277d-4834-93e3-b29caccd24c6,dbd80d19-e9cc-4ae1-8f7a-8db159889721.rna_seq.augmented_star_gene_counts.tsv
01BR010,4934582e-d8b4-485c-8fd5-40ef3e315033,748bc877-f3e7-4d78-afe8-6e90aaabc28a.rna_seq.augmented_star_gene_counts.tsv
11BR055,a75423f0-2651-48c4-815c-19d1539c1b4e,00d07640-e7a2-4cc3-978b-5d28ad7cd149.rna_seq.augmented_star_gene_counts.tsv
01BR043,f1f0a726-0597-4b69-812d-1b92148ec76e,5d509130-5ef6-4669-87c6-709dea47db8a.rna_seq.augmented_star_gene_counts.tsv
09BR007,1cdf3f38-de4a-435b-8c74-1f3a82f7cfdd,156815c6-822f-4951-b1f6-71df641a5144.rna_seq.augmented_star_gene_counts.tsv
18BR007,6b191e3a-8a94-4174-80df-518f5200d2de,8a9ee89a-5d79-4910-abea-d47f3cc1fd1c.rna_seq.augmented_star_gene_counts.tsv
13BR009,475cc411-a219-4c14-9df7-3fd757171396,7cce2f38-6568-426e-abe4-620faffc5d11.rna_seq.augmented_star_gene_counts.tsv
11BR013,69977d85-687b-4e1e-9372-87093dbf9a82,1064d0bb-3f75-431f-a3c0-8de652ee0fd5.rna_seq.augmented_star_gene_counts.tsv
18BR006,cc264ac8-e3ea-489b-9b3c-d6ef5f55477d,4f3915c7-3a11-4e80-85c5-0ce06111c449.rna_seq.augmented_star_gene_counts.tsv
05BR003,29caf4c3-d801-4515-b44b-d0fc0d832cf8,8c915fc6-b234-4806-ad93-b8fea6b339a8.rna_seq.augmented_star_gene_counts.tsv
604,f379233b-3b0d-419c-9fca-e0b97e119774,cefdeeb4-6df4-42d9-af9d-b78a6cad1ad1.rna_seq.augmented_star_gene_counts.tsv
11BR014,303387f6-5ad0-48d9-abf5-b773e82043f5,4485b752-4496-4c89-aed9-30f735a8e399.rna_seq.augmented_star_gene_counts.tsv
09BR005,0efbd253-83c5-4818-94b9-4627f2a87450,7b1ab337-54a7-458a-9385-12e5a4fe9d02.rna_seq.augmented_star_gene_counts.tsv
11BR073,2a12c153-4d73-4fa8-80d5-9b4d98f2db3e,9051016e-8093-4fe6-9de6-ff0de96d92c7.rna_seq.augmented_star_gene_counts.tsv
01BR032,0494644d-c6c9-4eb5-98d5-1d0a0ce8cc8c,e882af1f-724a-4500-897c-05026172cc46.rna_seq.augmented_star_gene_counts.tsv
03BR006,07316f8e-ad89-457a-b4ff-6b38f44b4cc6,146fbe72-a866-4973-9000-04c20db2fe4b.rna_seq.augmented_star_gene_counts.tsv
05BR044,08bf612a-c6d2-4e40-a4a9-084c728dd3e3,0bd1afd7-29ec-4a2e-b180-fe67d3b4d540.rna_seq.augmented_star_gene_counts.tsv
11BR053,6498ec81-f47a-4451-82a2-fcf72f09102e,2b0fa473-e232-45dc-b43e-ff39eb5fd69f.rna_seq.augmented_star_gene_counts.tsv
11BR044,fca3c849-7b6b-4e45-ab66-eb68b18e036e,1620e539-6a3a-4f8f-a110-20c9cd68d31f.rna_seq.augmented_star_gene_counts.tsv
18BR010,fba031ce-91bd-46bf-a7e4-4ef631552b54,7cb913f9-f6fe-4dbd-9651-435aaa1e37a5.rna_seq.augmented_star_gene_counts.tsv
11BR058,a7e3073b-43dd-40c0-9c17-844544319f3a,6e253781-2a49-4cae-9ce4-646003128843.rna_seq.augmented_star_gene_counts.tsv
11BR012,e62d499a-bdb5-41b8-9dcc-c602b7731129,b3f340aa-2d86-432e-bd2f-80dc6adf4fa9.rna_seq.augmented_star_gene_counts.tsv
01BR018,7d85910a-2a02-4294-a3cf-944dcce47f13,e6d21bbb-a8ba-4a14-874e-56cf322b8fd6.rna_seq.augmented_star_gene_counts.tsv
11BR009,b198e8e7-0fee-404d-a5b5-ad6d9c471957,5a47c2eb-71e3-412d-bda1-09367a0be87e.rna_seq.augmented_star_gene_counts.tsv
05BR043,faa55d86-3086-475d-a2a8-54f2b6e2a5d2,28e6062a-cad2-4341-9e22-3c3491d6e628.rna_seq.augmented_star_gene_counts.tsv
09BR001,bdf4774d-119a-4a66-9888-dcd29b30c882,8b816257-7aee-40a4-a318-57d4c72571b6.rna_seq.augmented_star_gene_counts.tsv
01BR020,d3cde1e8-037c-4798-a163-ab083eb989d0,734bdfa0-5c38-4518-8e70-cd50ec6f8c92.rna_seq.augmented_star_gene_counts.tsv
18BR003,2443c4f4-5ca7-4941-b070-9327a12ecb3b,648c1be4-36fd-4980-b508-2fb2c9558c00.rna_seq.augmented_star_gene_counts.tsv
06BR005,3652d9fe-92b6-4fbc-890a-852dad0c3c8f,ac07242e-03e3-45cf-976a-da7882ea9659.rna_seq.augmented_star_gene_counts.tsv
05BR038,83ea19be-4f97-40a4-9e6b-bc22faea0f5b,e9a37df0-f117-49d8-80df-9f3dead5753f.rna_seq.augmented_star_gene_counts.tsv
01BR044,adfaada2-a44a-46f5-bc3a-f34a00541a90,65d39d11-f7a9-4cda-93c7-f05830a49e5b.rna_seq.augmented_star_gene_counts.tsv
20BR001,0ec8cace-3afb-4e44-8f31-2f0f9d0f990f,41d6f903-5ac4-4481-aed9-fd141c7be021.rna_seq.augmented_star_gene_counts.tsv
06BR014,4f7e768a-61cb-45fb-8f1c-3c6204132e79,90e25e48-b679-4cd3-ad19-5983321ebd74.rna_seq.augmented_star_gene_counts.tsv
01BR027,fa55f410-873f-4086-8196-f84ff1b1a363,576fc8d6-4299-4f15-bf3a-5fa0bd85f93e.rna_seq.augmented_star_gene_counts.tsv
11BR025,13cc836e-8ab9-429f-bf42-50713a01fcec,75196f5b-e656-4fd0-b3cf-1c55089674e2.rna_seq.augmented_star_gene_counts.tsv
11BR036,5f763394-117a-4009-95e2-e75b1fabc2a0,8741e600-0b8a-49b8-b8ff-8da50864ace2.rna_seq.augmented_star_gene_counts.tsv
01BR026,88bc0249-1c02-4f48-925a-e71e21e126c8,9d1bf404-3896-4532-b9bc-d91f7cbc1e00.rna_seq.augmented_star_gene_counts.tsv
